género,ingreso_total,clase_ocupacional,nivel_educativo,tipo_empleador,asistencia_educativa,tipo_institucion_educativa
1,450000.0,3,4,1.0,2,0
2,200000.0,3,4,2.0,2,0
1,400000.0,2,2,2.0,2,0
1,480000.0,3,4,2.0,2,0
1,120000.0,1,3,2.0,2,0
1,140000.0,3,4,2.0,2,0
2,50000.0,3,5,2.0,1,1
1,500000.0,3,4,2.0,2,0
2,800000.0,1,4,2.0,2,0
1,250000.0,3,4,2.0,2,0
1,450000.0,3,4,2.0,2,0
2,300000.0,3,6,2.0,2,0
1,350000.0,3,4,2.0,2,0
2,326000.0,2,5,2.0,1,1
1,450000.0,3,5,2.0,2,0
1,150000.0,3,2,2.0,2,0
1,500000.0,2,5,2.0,2,0
2,280000.0,3,6,2.0,2,0
2,100000.0,2,3,2.0,2,0
1,30000.0,3,3,1.0,2,0
1,130000.0,3,3,2.0,2,0
1,350000.0,3,2,2.0,2,0
2,70000.0,3,3,2.0,2,0
1,180000.0,3,2,2.0,2,0
2,150000.0,3,4,2.0,2,0
2,400000.0,3,4,2.0,2,0
1,450000.0,3,2,2.0,2,0
1,250000.0,2,3,2.0,2,0
2,320000.0,3,6,1.0,2,0
2,147000.0,2,2,2.0,2,0
1,40000.0,2,3,2.0,2,0
1,45000.0,2,3,2.0,2,0
2,120000.0,3,4,2.0,2,0
1,52000.0,3,2,1.0,2,0
2,200000.0,3,6,1.0,2,0
1,700000.0,2,6,2.0,2,0
2,360000.0,3,6,1.0,2,0
1,380000.0,3,6,1.0,2,0
2,260000.0,3,6,1.0,2,0
1,500000.0,3,6,1.0,2,0
1,310000.0,2,3,2.0,2,0
2,600000.0,3,6,2.0,2,0
1,200000.0,3,3,2.0,2,0
1,420000.0,3,6,2.0,2,0
1,350000.0,3,4,2.0,2,0
1,250000.0,3,3,2.0,2,0
2,190000.0,3,3,3.0,2,0
1,200000.0,3,6,2.0,2,0
1,350000.0,3,5,2.0,1,1
2,160000.0,3,4,2.0,2,0
2,150000.0,3,5,2.0,1,1
1,200000.0,2,6,2.0,2,0
1,400000.0,3,3,2.0,2,0
1,170000.0,3,3,2.0,2,0
1,250000.0,2,5,2.0,2,0
1,35000.0,2,3,2.0,2,0
1,300000.0,3,4,2.0,2,0
2,119000.0,3,6,2.0,2,0
1,90000.0,2,1,2.0,2,0
1,87000.0,2,1,2.0,2,0
1,250000.0,3,3,2.0,2,0
2,200000.0,3,2,2.0,2,0
1,900000.0,3,6,2.0,2,0
2,200000.0,3,3,2.0,2,0
2,144000.0,3,4,2.0,2,0
1,60000.0,2,6,2.0,2,0
1,340000.0,3,4,2.0,2,0
2,210000.0,3,4,1.0,2,0
1,350000.0,3,2,2.0,2,0
2,600000.0,3,4,2.0,2,0
1,146000.0,3,3,1.0,2,0
2,209000.0,3,4,1.0,2,0
2,80000.0,3,4,2.0,2,0
2,80000.0,3,4,2.0,2,0
1,20000.0,2,3,2.0,2,0
1,300000.0,2,5,2.0,2,0
2,200000.0,3,6,2.0,2,0
1,200000.0,3,2,2.0,2,0
1,100000.0,3,2,2.0,2,0
1,120000.0,3,2,2.0,2,0
2,80000.0,2,6,2.0,2,0
1,350000.0,3,4,2.0,2,0
2,90000.0,3,2,2.0,2,0
1,400000.0,1,4,2.0,2,0
1,320000.0,2,4,2.0,2,0
1,300000.0,3,3,2.0,2,0
1,250000.0,3,2,2.0,2,0
1,250000.0,2,6,2.0,2,0
2,1500000.0,2,1,2.0,2,0
1,50000.0,2,2,2.0,2,0
2,94000.0,3,2,2.0,2,0
1,380000.0,3,4,1.0,2,0
1,360000.0,3,4,2.0,2,0
2,400000.0,3,6,1.0,2,0
1,470000.0,3,4,2.0,2,0
1,800000.0,3,5,2.0,1,1
2,150000.0,3,5,2.0,1,1
1,150000.0,2,4,2.0,2,0
2,40000.0,3,3,2.0,2,0
2,163000.0,2,6,2.0,2,0
1,800000.0,2,6,2.0,2,0
2,159200.0,3,2,2.0,2,0
1,70000.0,3,3,2.0,2,0
2,270500.0,3,2,2.0,2,0
1,150000.0,3,3,2.0,2,0
2,103000.0,3,4,2.0,2,0
2,150000.0,3,6,1.0,2,0
1,150000.0,3,3,1.0,2,0
2,270000.0,3,4,1.0,2,0
1,280000.0,3,3,2.0,2,0
1,100000.0,2,3,2.0,2,0
2,89000.0,3,4,1.0,2,0
1,120000.0,2,2,2.0,2,0
2,72000.0,3,4,2.0,2,0
2,80000.0,3,4,2.0,2,0
1,212000.0,3,4,1.0,2,0
2,180000.0,3,4,1.0,2,0
1,90000.0,3,4,2.0,2,0
1,300000.0,3,6,2.0,2,0
2,462000.0,2,3,2.0,2,0
1,424000.0,2,1,2.0,2,0
2,480000.0,2,4,2.0,2,0
1,180000.0,3,6,2.0,2,0
1,115000.0,3,3,2.0,2,0
1,230000.0,3,3,1.0,2,0
2,60000.0,3,5,1.0,1,1
1,600000.0,3,4,2.0,2,0
2,380000.0,3,6,1.0,2,0
1,400000.0,3,5,2.0,1,2
2,60000.0,2,3,2.0,2,0
1,400000.0,3,4,2.0,2,0
1,50000.0,2,5,2.0,1,1
2,156000.0,2,2,2.0,2,0
1,50000.0,2,4,2.0,2,0
2,57000.0,3,3,2.0,2,0
2,125600.0,2,3,2.0,2,0
2,224459.0,3,1,2.0,2,0
1,300000.0,3,5,2.0,1,2
1,480000.0,3,2,2.0,2,0
2,400000.0,3,6,1.0,2,0
1,100000.0,3,6,1.0,2,0
2,40000.0,2,6,2.0,2,0
1,140000.0,3,6,2.0,2,0
2,350000.0,3,6,1.0,2,0
1,280000.0,3,4,1.0,2,0
2,300000.0,2,6,2.0,2,0
1,180000.0,1,2,2.0,2,0
2,380000.0,3,5,2.0,2,0
1,140000.0,3,3,2.0,2,0
1,500000.0,3,3,2.0,2,0
2,240000.0,3,2,2.0,2,0
2,400000.0,3,4,2.0,2,0
1,120000.0,3,4,2.0,2,0
1,450000.0,3,5,1.0,2,0
2,320000.0,3,6,1.0,2,0
1,400000.0,1,4,2.0,2,0
2,80000.0,2,5,2.0,1,2
1,400000.0,3,6,2.0,2,0
2,198000.0,2,6,2.0,2,0
2,253000.0,3,6,2.0,2,0
1,260000.0,3,4,1.0,2,0
2,60000.0,2,4,2.0,2,0
2,80000.0,3,3,2.0,2,0
1,155000.0,3,3,2.0,2,0
1,240000.0,2,2,2.0,2,0
2,391900.0,3,2,1.0,2,0
1,120000.0,2,2,2.0,2,0
1,310000.0,3,6,1.0,2,0
2,250000.0,3,6,1.0,2,0
2,60000.0,3,5,2.0,1,1
1,80000.0,1,4,2.0,2,0
2,80000.0,3,2,2.0,2,0
2,130000.0,3,6,2.0,2,0
2,400000.0,3,6,1.0,2,0
1,460000.0,3,6,2.0,2,0
2,600000.0,3,6,2.0,2,0
1,158000.0,2,1,2.0,2,0
2,56000.0,3,5,2.0,1,1
1,290000.0,2,2,2.0,2,0
2,88000.0,3,2,2.0,2,0
1,200000.0,3,3,2.0,2,0
1,140000.0,3,2,2.0,2,0
2,75000.0,2,3,2.0,2,0
2,10000.0,2,3,2.0,2,0
1,140000.0,3,1,2.0,2,0
1,100000.0,3,3,2.0,2,0
1,70000.0,3,3,2.0,2,0
1,300000.0,3,4,2.0,2,0
1,280000.0,3,3,2.0,2,0
2,400000.0,1,6,2.0,2,0
1,150000.0,1,2,2.0,2,0
2,30000.0,3,4,2.0,2,0
1,80000.0,3,3,2.0,2,0
1,80000.0,3,3,2.0,2,0
1,70000.0,2,3,2.0,2,0
1,270000.0,3,4,1.0,2,0
1,120000.0,1,4,2.0,2,0
1,80000.0,3,4,2.0,2,0
2,80000.0,2,4,2.0,2,0
1,300000.0,3,4,1.0,2,0
1,280000.0,3,5,1.0,2,0
1,280000.0,3,5,2.0,2,0
1,518000.0,3,6,1.0,2,0
2,45674.0,3,4,2.0,2,0
1,230000.0,3,3,2.0,2,0
2,800000.0,3,6,1.0,2,0
1,300000.0,3,5,2.0,2,0
2,582000.0,3,5,1.0,2,0
2,240000.0,3,5,2.0,2,0
2,250000.0,1,3,3.0,2,0
1,80000.0,3,2,3.0,2,0
1,290000.0,3,4,2.0,2,0
2,60000.0,3,2,2.0,2,0
1,300000.0,3,3,2.0,2,0
2,310000.0,3,4,2.0,2,0
2,83000.0,3,3,2.0,2,0
1,324000.0,3,3,2.0,2,0
2,350000.0,2,5,2.0,2,0
1,200000.0,3,5,2.0,2,0
1,290000.0,3,2,2.0,2,0
1,350000.0,3,6,1.0,2,0
2,250000.0,3,6,1.0,2,0
1,180000.0,3,5,2.0,2,0
1,100000.0,3,4,2.0,2,0
1,120000.0,3,5,2.0,1,1
1,100000.0,3,4,1.0,2,0
1,400000.0,3,2,2.0,2,0
2,680000.0,3,6,2.0,2,0
1,200000.0,3,4,2.0,2,0
1,300000.0,2,1,2.0,2,0
2,100000.0,2,4,2.0,2,0
1,400000.0,3,4,2.0,2,0
1,380000.0,3,4,1.0,2,0
2,400000.0,3,6,1.0,2,0
2,165000.0,3,6,3.0,2,0
2,414000.0,3,6,1.0,2,0
1,100000.0,3,4,2.0,2,0
2,133200.0,3,4,2.0,2,0
1,150000.0,3,4,2.0,2,0
2,300000.0,3,5,2.0,2,0
1,200000.0,3,5,2.0,2,0
2,76800.0,3,2,2.0,2,0
1,96000.0,3,3,2.0,2,0
2,180000.0,3,6,1.0,2,0
1,60000.0,2,2,2.0,2,0
1,200000.0,3,2,2.0,2,0
2,183000.0,2,2,2.0,2,0
2,28000.0,3,1,2.0,2,0
2,107600.0,3,1,1.0,2,0
2,99300.0,3,3,2.0,2,0
2,140000.0,2,4,2.0,2,0
2,70000.0,2,5,2.0,1,1
2,20000.0,2,6,2.0,2,0
2,170000.0,3,6,1.0,2,0
1,170000.0,3,6,1.0,2,0
2,140000.0,3,6,2.0,2,0
2,200000.0,3,6,2.0,2,0
1,340000.0,3,2,2.0,2,0
1,70000.0,2,5,2.0,1,1
2,100000.0,3,6,2.0,2,0
1,138000.0,2,2,2.0,2,0
1,192000.0,3,4,2.0,2,0
1,400000.0,3,4,1.0,2,0
2,275000.0,3,6,1.0,2,0
2,89500.0,3,3,1.0,2,0
2,280000.0,3,4,1.0,2,0
2,321000.0,3,4,2.0,2,0
1,108000.0,3,3,1.0,1,1
1,250000.0,3,2,2.0,2,0
1,300000.0,3,6,2.0,2,0
1,400000.0,2,3,2.0,2,0
1,140000.0,3,3,2.0,2,0
2,298600.0,2,3,2.0,2,0
1,360000.0,3,4,1.0,2,0
1,525000.0,3,4,2.0,2,0
2,157000.0,3,3,2.0,2,0
2,400000.0,3,6,2.0,2,0
1,450000.0,3,5,1.0,2,0
1,70000.0,2,4,2.0,2,0
2,115500.0,2,4,2.0,2,0
1,90000.0,3,3,2.0,2,0
1,320000.0,3,4,2.0,2,0
1,300000.0,3,2,2.0,2,0
2,106000.0,3,4,2.0,2,0
1,160000.0,2,2,2.0,2,0
1,179500.0,3,4,1.0,2,0
2,200000.0,3,6,1.0,2,0
2,200000.0,3,4,2.0,2,0
1,430000.0,3,6,2.0,2,0
1,6845000.0,1,5,2.0,2,0
2,400000.0,2,4,2.0,2,0
1,170000.0,3,3,1.0,2,0
1,300000.0,3,2,1.0,2,0
2,35600.0,3,3,2.0,2,0
1,50000.0,2,2,2.0,2,0
2,201000.0,3,4,2.0,2,0
1,100000.0,3,4,2.0,2,0
1,1000000.0,3,6,2.0,2,0
1,780000.0,3,3,2.0,2,0
1,250000.0,3,3,2.0,2,0
2,120000.0,3,4,1.0,2,0
1,180000.0,3,1,2.0,2,0
1,100000.0,3,1,2.0,2,0
2,48000.0,3,2,2.0,2,0
2,48000.0,3,2,2.0,2,0
1,220000.0,3,4,2.0,2,0
1,90000.0,3,3,2.0,2,0
1,20000.0,2,2,2.0,2,0
1,8000.0,3,3,2.0,2,0
2,90000.0,3,4,2.0,2,0
1,80000.0,3,1,2.0,2,0
