género,ingreso_total,clase_ocupacional,nivel_educativo,tipo_empleador,asistencia_educativa,tipo_institucion_educativa
Masculino,450000.0,Trabajador o empleado,Título Universitario,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,200000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,400000.0,Autónomo,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,480000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,120000.0,Empleador,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,140000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,50000.0,Trabajador o empleado,Título de Posgrado,Privado,"Sí, actualmente asistiendo",Pública
Masculino,500000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,250000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,450000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,300000.0,Trabajador o empleado,,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,350000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,326000.0,Autónomo,Título de Posgrado,Privado,"Sí, actualmente asistiendo",Pública
Masculino,450000.0,Trabajador o empleado,Título de Posgrado,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,150000.0,Trabajador o empleado,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,500000.0,Autónomo,Título de Posgrado,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,280000.0,Trabajador o empleado,,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,100000.0,Autónomo,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,30000.0,Trabajador o empleado,Educación Terciaria,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,130000.0,Trabajador o empleado,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,350000.0,Trabajador o empleado,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,70000.0,Trabajador o empleado,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,180000.0,Trabajador o empleado,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,150000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,400000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,450000.0,Trabajador o empleado,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,250000.0,Autónomo,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,320000.0,Trabajador o empleado,,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,147000.0,Autónomo,Educación Secundaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,40000.0,Autónomo,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,45000.0,Autónomo,Educación Terciaria,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,120000.0,Trabajador o empleado,Título Universitario,Privado,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,52000.0,Trabajador o empleado,Educación Secundaria,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,200000.0,Trabajador o empleado,,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Femenino,360000.0,Trabajador o empleado,,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
Masculino,380000.0,Trabajador o empleado,,Público,"No, pero asistió en el pasado",No especificado / Sin respuesta
